#name	method	nb_COs	CO_tl_mean	CO_tl_sd	CO_asym	nb_NCOs	NCO_tl_mean	NCO_tl_sd	NCO_asym	prob_CAST	nb_frag
CO_10.m_113.0.sd_62.0.asym_0.5.NCO_990.m_67.0.sd_71.0.asym_0.5	expected	10	113.0	62.0	0.5	990	67.0	71.0	0.5	0.5	10
CO_43.m_772.0.sd_138.0.asym_0.5.NCO_957.m_194.0.sd_72.0.asym_0.5	expected	43	772.0	138.0	0.5	957	194.0	72.0	0.5	0.5	10
CO_36.m_451.0.sd_76.0.asym_0.5.NCO_964.m_3.0.sd_59.0.asym_0.5	expected	36	451.0	76.0	0.5	964	3.0	59.0	0.5	0.5	10
CO_86.m_552.0.sd_237.0.asym_0.5.NCO_914.m_164.0.sd_66.0.asym_0.5	expected	86	552.0	237.0	0.5	914	164.0	66.0	0.5	0.5	10
CO_373.m_696.0.sd_65.0.asym_0.5.NCO_627.m_114.0.sd_64.0.asym_0.5	expected	373	696.0	65.0	0.5	627	114.0	64.0	0.5	0.5	10
CO_76.m_747.0.sd_243.0.asym_0.5.NCO_924.m_174.0.sd_63.0.asym_0.5	expected	76	747.0	243.0	0.5	924	174.0	63.0	0.5	0.5	10
CO_174.m_421.0.sd_295.0.asym_0.5.NCO_826.m_67.0.sd_82.0.asym_0.5	expected	174	421.0	295.0	0.5	826	67.0	82.0	0.5	0.5	10
CO_662.m_315.0.sd_122.0.asym_0.5.NCO_338.m_50.0.sd_39.0.asym_0.5	expected	662	315.0	122.0	0.5	338	50.0	39.0	0.5	0.5	10
CO_344.m_247.0.sd_253.0.asym_0.5.NCO_656.m_17.0.sd_39.0.asym_0.5	expected	344	247.0	253.0	0.5	656	17.0	39.0	0.5	0.5	10
CO_813.m_862.0.sd_201.0.asym_0.5.NCO_187.m_71.0.sd_46.0.asym_0.5	expected	813	862.0	201.0	0.5	187	71.0	46.0	0.5	0.5	10
